artist_id,artist_name,track_id,track_name,album_release_date,album_release_date_precision,is_explicit,duration_ms,popularity
20gsENnposVs2I4rQ5kvrf,Sam Feldt,09rAJ1Q1NNJSaUKEW3X9P6,Crying On The Dancefloor,2023-03-17,day,False,173008,78
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),2022-02-04,day,False,177689,79
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,4dTaAiV9xFFCxnPur9c9yL,Memories (feat. Kid Cudi),2009-08-21,day,False,210093,71
3g9yyIlJ0sIunQWJLmIYhn,Sound Of Legend,2PG3D6a0BaldrZB9W0FPuv,Maniac,2022-01-21,day,False,131172,57
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,2020-03-20,day,False,200040,93
4CuipEvwcoQggmCV8jpKF9,Michael Calfan,2z9BHtXQT5XsrIThekoZ8s,Treasured Soul - Radio Edit,2015-03-02,day,False,177600,46
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,6OeRAvRqfqpaHHTzrnCSHJ,Sugar (feat. Francesco Yates) - Billions Club Remix,2022-08-26,day,False,186377,43
7CajNmpbOovFoOoasH2HaY,Calvin Harris,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),2018-04-06,day,False,214846,87
5rGrDvrLOV2VV8SCFVGWlj,Imanbek,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,2022-02-18,day,False,151475,83
7keGfmQR4X5w0two1xKZ7d,Kungs,0xfMlIW8lS40qvpsUw1l0X,Never Going Home,2021-05-21,day,False,169944,70
5cBeFQv3kBVP8o15CmPTKb,Tez Cadey,6UqRGwjwYL0stXbaodTxwo,Seve - Radio Edit,2015-01-26,day,False,210853,68
3IW7ScrzXmPvZhB27hmfgy,Jul,6gxqFnRudA7OAgmwwonkcP,Love de toi,2024-01-19,day,True,202666,62
3MNnSV5hDd2UzZzgqD8xlU,Shay,0F74FBWgkvXjP3V6tRlCx4,Sans Coeur,2023-11-10,day,True,176000,76
1ntQKIMIgESKpKoNXVBvQg,Kaaris,2HimJmsy7QZOauXXvlCd2m,Panama,2023-12-14,day,True,225733,74
6p46LxMXeRu3FRYN4tK5Lv,SativaMusic,5EVY9jwZDhgyLDyNGCGWYh,Seya,2023-10-06,day,False,188484,83
0LKAV3zJ8a8AIGnyc5OvfB,SDM,6APVzgDu9ni6rIcSubOZz3,Nous deux,2023-04-07,day,True,221653,62
3IW7ScrzXmPvZhB27hmfgy,Jul,0SqLN8ZqucYOGZH7SD4HGC,J'fais que danser,2023-11-03,day,True,173586,67
6Te49r3A6f5BiIgBRxH7FH,Ninho,1JvMPB1mkcrQsnasBGMBYd,No love,2023-06-30,day,True,202186,75
3x3gsBtmPOSQVqdBzO7N5E,Nahir,74x0GjLf1nolNFBYY8gddI,Piranha (feat. Vacra),2023-06-15,day,True,155878,65
7x3eTVPlBiPjXHn3qotY86,KeBlack,2ImdwbujxKFxN1UxEvf2dD,LAISSE MOI,2023-09-08,day,True,168620,81
07h4CCFmlXkwx0g4PL5Uuh,Guy2Bezbar,4oTH36emmtCcKKYb3fvXcg,ZERO (feat. Franglish),2023-12-22,day,True,158986,65
6y9D9asiDbnfHSZETC6pkZ,Kaneki,74Sbxr7GNTQM8RyPEmp9Nq,Blue,2023-08-21,day,True,187157,66
3IW7ScrzXmPvZhB27hmfgy,Jul,5Y8Zbqlmx97hTM8y5kqo0x,Sensations,2023-11-24,day,True,261320,64
5hREZP0zTQbTLkZ2M8RS4v,Djadja & Dinaz,1KcVcJuQEnUQoQ8IzjsdKV,Khemem,2023-06-16,day,True,175465,62
3YwqjMyrRfuixi2pbgTGCE,Heuss L'enfoiré,63jpYDOn7xGEPzpUxViZu2,Saiyan,2023-06-02,day,True,189829,74
4ddqz1AzqYMRKYTslXO839,Doria,2ngnc6nlCqgake5RcScDyN,Déter (feat. Soolking),2024-01-19,day,True,206880,56
4az97MtWmBQ5Db3GfDh9j9,Morad,55Q180Og5mkW2XeGPjB7yn,Se Grita,2023-05-12,day,True,259627,79
1wAtSe79kItIb9nf5EhI2Q,Niro,3i9rNpToR25Cx5XdkStxn2,Yemma,2023-12-14,day,True,157625,58
2z2TRvloJt4EfUNQp9rHAi,Alonzo,5M2CMmyYb0GrmUCxFxhycX,Olala (feat. Naza),2023-11-03,day,True,171000,60
6W5uA6CNMf3hd2j4a2XWCx,Naps,2UHSXPY5jSCpp3nzWHtaQv,C'est carré le S,2023-04-28,day,True,201533,67
4az97MtWmBQ5Db3GfDh9j9,Morad,1OadAxUa6KVPyKAwEv0Duy,Mi madre,2023-12-01,day,True,199939,62
0qO3t2MHM5NIEJ5fw9VndY,Benab,00GSNnSxVhNlQiJwuRGIGr,RS5,2023-06-16,day,True,176853,58
